municipio;municipio_normalizado;wifi_wimax_documentado;zonas_wifi_wimax;fibra_propia_documentada;zonas_fibra_propia;servicio_prioritario;respuesta_inicial_para_agente;que_no_debe_decir;cuando_derivar;mensaje_si_da_direccion;fuente
Alaquàs;alaquas;Sí;Casco Urbano, Polígonos Industriales y urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Alaquàs podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Alaquàs tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Alborache;alborache;Sí;Casco Urbano y urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Alborache podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Alborache tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Aldaia;aldaia;Sí;Casco Urbano, Polígonos Industriales y urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Aldaia podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Aldaia tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Benaguacil;benaguacil;Sí;Casco Urbano, Els Cremats, Canyada de Amoros y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Benaguacil podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Benaguacil tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Bétera;betera;Sí;Casco Urbano, Vall de Flors, El Ciscar, La Conarda, Montesano, Lloma del Mas, Camino Paterna, La Junquera, Mas d’Elies, Los Almudes, la Malladeta, La Masia, La Mallà, Virgen de la Estrella, La Providencia (Polígono y Urbanización), Clotxa del Sec, Los Pinares, El Brucar y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Bétera podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Bétera tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Casinos;casinos;Sí;Casco urbano, Los Pinos y urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Casinos podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Casinos tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Cheste;cheste;Sí;Casco Urbano, Los Visos, Cañada Fría, Cuevas aguas perdidas y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Cheste podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Cheste tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Chiva;chiva;Sí;Casco Urbano, Las Pedrizas, San Miguel, Santo Domingo, Urbanización La Esmeralda, Olimar, El Carambolo, La Carreta, Montelevante y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Chiva podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Chiva tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Domeño;domeno;Sí;Casco Urbano y alrededores.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Domeño podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Domeño tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
Godelleta;godelleta;Sí;Casco Urbano, Fuentesica, Cabuchuelos, El Quemao, Alto Pinar y otras urbanizaciones.;No;No documentada en este archivo;"1º WIFI/WIMAX + móvil; 2º Fibra nacional sujeta a cobertura si Wimax no aplica.";Perfecto. En Godelleta podemos revisar WIFI/WIMAX + móvil en varias zonas del municipio. Para comprobarlo bien, ¿me indicas la dirección exacta donde quieres instalar el servicio?;No mencionar fibra propia. No decir 'fibra o Wimax'. No decir que fibra es lo habitual. No preguntar si necesita móvil como si fuera opcional.;Derivar si hay dirección exacta e interés real, si quiere contratar, si la zona no está clara o si debe validarse cobertura exacta.;Gracias. Con esa dirección podemos revisar la cobertura exacta. En Godelleta tenemos WIFI/WIMAX en varias zonas, pero la disponibilidad final depende de la ubicación concreta. Para que un especialista pueda confirmarlo y darte la mejor opción, ¿me indicas tu nombre y teléfono?;Listado Cobertura 2023.pdf
